,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Житомирська область,Бердичівський район,Червоненська,селищна територіальна громада,UA18020170000036711,,5.569,5.476,157.8,40923.78737,23783.33033,-41.9%,4724.6009,3392.39366,менше 5,-28.2%,30.37119582,60.49646231,67.15,53.52,більше 40,-20.3%,0.43115915,0,6552.6,1345.562165,0.379707976,0,7774.8,27.75564845,30.17311967,7.6,6.7,менше 25,-12.1%,1301.734795,1498.758591,5.35,2.98,менше 25,-44.2%,839.0041354,986.9969039,217.9,164.61,100-200,-24.5%,20.24,30.56,32.2%,46.5%,30-50,44.6%
Житомирська область,Житомирський район,Потіївська,сільська територіальна громада,UA18040410000025491,,3.466,3.42,258.8,26406.20257,14612.90476,-44.7%,2943.4323,2857.63024,менше 5,-2.9%,25.57698015,50.7841094,53.4,42.12,більше 40,-21.1%,0.405668404,0,4306,1266.010605,0.430643974,0,4382.4,9.445399828,10.75075269,2.5,2.8,менше 25,11.8%,1482.164437,1392.315525,39.69,36.29,25-50,-8.6%,396.563961,342.3915432,73.5,88.24,менше 100,20.1%,27.55,43.30,47.6%,46.6%,30-50,-2.1%
Чернівецька область,Чернівецький район,Острицька,сільська територіальна громада,UA73060430000042676,,13.472,13.453,99.1,70419.36233,22178.26233,-68.5%,4841.10117,5550.74555,5-20,14.7%,7.448586847,25.29504759,27.58,25.06,20-40,-9.1%,0.246706302,0,21981.5,769.9214217,0.262859392,0,23267,113.9190094,225.9376468,46.4,44.0,25-50,-5.2%,92.03341471,101.1571236,10.14,18.63,менше 25,83.7%,274.6383483,285.5297199,81.1,79.02,менше 100,-2.5%,15.65,50.92,53.6%,46.8%,30-50,-12.7%
Запорізька область,Василівський район,Степногірська,селищна територіальна громада,UA23040210000019462,,8.347,8.251,235.3,23902.13139,20626.01916,-13.7%,3791.81687,4306.32147,менше 5,13.6%,38.05385512,48.59837326,52.9,47.96,більше 40,-9.3%,0.252041055,0,13517.7,786.5701292,0.257985044,0,14513.3,77.97236716,104.866585,21.3,28.3,25-50,32.8%,518.4504452,568.4491538,19.15,19.43,менше 25,1.5%,490.1045345,531.4912267,122.9,148.86,100-200,21.2%,36.40,36.91,44.9%,46.9%,30-50,4.7%
Кіровоградська область,Кропивницький район,Гурівська,сільська територіальна громада,UA35040070000034432,,5.729,5.596,628.7,48101.2075,49704.03541,3.3%,8129.2993,9064.97177,5-20,11.5%,47.86378325,50.79844319,54.44,56.42,більше 40,3.6%,0.977695204,0,0,3051.192756,0.938070153,0,0,96.25051715,139.4665769,26.7,23.1,менше 25,-13.7%,2252.126058,2630.221949,10.76,3.70,менше 25,-65.6%,1747.016011,1846.902368,315.9,410.46,200-500,29.9%,29.96,35.93,40.3%,47.0%,30-50,16.5%
Закарпатська область,Ужгородський район,Тур’є-Реметівська,сільська територіальна громада,UA21100210000026937,,16.129,16.107,437.3,33170.26213,28673.98322,-13.6%,6242.21985,7727.48918,5-20,23.8%,18.12617608,29.37301203,30.43,29.66,20-40,-2.5%,0.240749911,0,26576.5,751.332709,0.242001958,0,28786.9,46.58144547,55.36504931,13.6,12.8,менше 25,-6.3%,88.62981854,143.2334069,23.07,18.39,менше 25,-20.3%,214.7140218,284.8094815,69.8,96.12,менше 100,37.6%,25.37,45.60,40.8%,47.0%,30-50,15.1%
Рівненська область,Дубенський район,Повчанська,сільська територіальна громада,UA56040250000064519,,2.877,2.853,94.1,18123.01181,7887.82891,-56.5%,1311.14794,1863.6829,менше 5,42.1%,20.71603638,45.56991006,61.91,57.38,більше 40,-7.3%,0.327103274,0,4115,1020.824421,0.32743781,0,4435.6,19.11609315,22.44938704,5.2,5.2,менше 25,-0.4%,598.4844074,585.9362872,3.61,3.79,менше 25,5.0%,693.3488356,660.8213345,186.7,264.28,200-500,41.6%,21.09,42.66,52.4%,47.1%,30-50,-10.1%
Рівненська область,Рівненський район,Великоомелянська,сільська територіальна громада,UA56060110000087064,,3.724,3.736,103.2,29181.33452,29167.75257,0.0%,5622.24727,6183.28585,5-20,10.0%,33.47836736,34.65599054,39.63,41.54,більше 40,4.8%,0.986125362,0,0,3077.501609,0.79095446,0,1106.3,999.5965657,1780.435707,323.7,267.0,більше 200,-17.5%,1005.678981,879.2781546,55.36,49.50,25-50,-10.6%,1447.88993,1589.074485,364.3,488.83,200-500,34.2%,30.84,33.82,36.6%,47.1%,30-50,28.8%
Донецька область,Волноваський район,Комарська,сільська територіальна громада,UA14040070000032181,,7.077,6.948,423.2,31556.33859,30305.86908,-4.0%,4649.18009,5209.32021,5-20,12.0%,39.44848413,42.12043399,55.69,48.42,більше 40,-13.0%,0.327052571,0,12936.9,1020.666188,0.424469361,0,11331.7,18.20395732,24.55500455,6.9,5.6,менше 25,-19.7%,669.987782,614.6126885,2.79,1.60,менше 25,-42.6%,680.809592,797.7810795,286.3,294.97,200-500,3.0%,29.34,32.64,37.8%,47.3%,30-50,25.1%
Чернівецька область,Вижницький район,Вашківецька,міська територіальна громада,UA73020070000035367,,12.38,12.315,146.1,76050.69726,23980.63587,-68.5%,5394.23377,6563.50364,5-20,21.7%,9.132402161,30.20982663,28.54,22.93,20-40,-19.6%,0.245856835,0,20251.2,767.2704032,0.255711837,0,21564.7,162.1319008,120.7092606,41.3,37.4,25-50,-9.5%,329.1134427,296.8591934,31.73,25.77,25-50,-18.8%,197.4177032,244.4342019,63.1,67.42,менше 100,6.8%,13.85,39.70,46.2%,47.4%,30-50,2.7%
Донецька область,Волноваський район,Старомлинівська,сільська територіальна громада,UA14040130000068575,,10.997,10.8,571.8,45628.05612,41413.73676,-9.2%,6395.23071,6521.84483,5-20,2.0%,38.72060682,43.85239211,42.28,41.64,більше 40,-1.5%,0.318395773,0,19965.8,993.6500364,0.364059476,0,19841.9,140.9835367,151.1306325,40.4,21.9,менше 25,-45.8%,634.5202276,614.7614365,6.55,2.52,менше 25,-61.5%,640.983048,705.8060298,205.4,215.95,200-500,5.1%,25.61,29.11,38.7%,47.5%,30-50,22.9%
Закарпатська область,Хустський район,Драгівська,сільська територіальна громада,UA21120090000025804,,13.875,13.821,148.1,24509.43922,17098.26417,-30.2%,3758.21032,4386.18595,менше 5,16.7%,12.74638445,20.86400833,20.31,18.81,10-20,-7.4%,0.212943553,0,23822.6,664.5545795,0.209995866,0,25901.5,107.611952,109.4951663,24.7,15.0,менше 25,-39.1%,57.36343102,51.92552841,4.42,9.91,менше 25,124.0%,144.313058,189.4660995,45.2,45.51,менше 100,0.6%,20.85,46.10,36.5%,47.7%,30-50,30.5%
Чернівецька область,Чернівецький район,Горішньошеровецька,сільська територіальна громада,UA73060170000031531,,5.852,5.784,86.1,8871.07244,10658.62337,20.2%,2166.07616,2792.24455,менше 5,28.9%,48.70053547,41.26126196,44.22,30.34,20-40,-31.4%,0.20609149,0,10141.7,643.1706525,0.207244185,0,10872.6,21.1024889,33.44605809,7.6,5.7,менше 25,-24.7%,237.3190605,239.0680775,7.80,3.70,менше 25,-52.5%,441.2651418,499.7879772,133.8,113.37,100-200,-15.3%,46.85,45.70,45.7%,47.7%,30-50,4.5%
Закарпатська область,Ужгородський район,Оноківська,сільська територіальна громада,UA21100110000018765,,6.544,6.539,117.3,58924.39598,58158.33678,-1.3%,12265.5699,14113.3502,5-20,15.1%,25.01099021,32.52307822,34.7,43.83,більше 40,26.3%,1.227383019,1304.9,0,3830.418888,1.223039168,1369,0,466.5558492,741.9127115,149.3,100.4,100-200,-32.8%,1130.357915,1371.957209,288.32,395.90,більше 200,37.3%,999.2683839,1327.910866,291.2,469.01,200-500,61.1%,23.38,51.02,44.0%,47.7%,30-50,8.5%
Запорізька область,Запорізький район,Михайло-Лукашівська,сільська територіальна громада,UA23060170000046208,,5.5,5.447,368,27700.93314,28907.6846,4.4%,4577.2211,4876.01987,менше 5,6.5%,48.14439482,46.71147612,48.53,51.71,більше 40,6.6%,0.579838061,0,4402.7,1809.55955,0.62167586,0,4137.9,110.3205664,141.5071893,27.9,20.3,менше 25,-27.2%,1136.783043,990.4508907,5.97,13.58,менше 25,127.3%,1218.06449,1306.630179,254.7,259.17,200-500,1.8%,37.02,32.73,51.1%,47.8%,30-50,-6.5%
Львівська область,Львівський район,Добросинсько-Магерівська,сільська територіальна громада,UA46060110000011684,,16.238,16.154,233.9,57402.29832,34995.15795,-39.0%,6806.67342,9235.26417,5-20,35.7%,19.58968003,36.00342967,37.51,38.73,20-40,3.3%,0.265399825,0,25750.7,828.2601981,0.244499314,0,28770.2,53.92495293,65.44446801,13.5,13.5,менше 25,0.1%,242.698719,275.427757,7.15,8.16,менше 25,14.1%,373.73071,418.9939753,96.8,140.72,100-200,45.3%,25.71,50.77,54.6%,47.9%,30-50,-12.3%
Луганська область,Щастинський район,Нижньотеплівська,сільська територіальна громада,UA44160010000053248,,7.234,7.149,492.4,28673.53939,27076.79761,-5.6%,3300.38874,3953.34796,менше 5,19.8%,35.53554161,42.44384896,56.97,33.47,20-40,-41.2%,0.206430243,0,19821.6,644.2278326,0.447577415,0,10347.7,12.77731283,17.04828568,4.8,3.9,менше 25,-18.9%,327.2812938,567.6620228,12.59,8.29,менше 25,-34.2%,556.4638587,791.8487033,160.2,126.46,100-200,-21.1%,33.53,42.01,42.0%,48.2%,30-50,14.7%
Закарпатська область,Ужгородський район,Середнянська,селищна територіальна громада,UA21100150000019483,,14.363,14.39,217.2,61670.3669,35251.40529,-42.8%,7518.55658,8701.42952,5-20,15.7%,14.51055838,29.36104877,33.16,31.29,20-40,-5.6%,0.479637743,0,15078.1,1496.854236,0.391764042,0,19853.3,144.0609578,170.4116004,33.1,26.0,25-50,-21.5%,153.3640844,171.1223708,10.70,14.03,менше 25,31.2%,440.0167168,511.8809523,130.4,141.24,100-200,8.3%,24.63,50.33,63.7%,48.2%,30-50,-24.3%
Дніпропетровська область,Павлоградський район,Межиріцька,сільська територіальна громада,UA12120050000027007,,6.887,6.805,270,56893.36008,31118.04378,-45.3%,4986.02327,5887.78642,5-20,18.1%,20.43163333,38.59490193,42.58,41.81,більше 40,-1.8%,0.527159284,0,6497.3,1645.159537,0.551404998,0,6532.4,258.9322765,381.5766478,65.5,47.1,25-50,-28.1%,547.4342479,612.968342,26.44,26.38,25-50,-0.2%,1027.311489,1026.461141,222.5,229.50,200-500,3.1%,16.24,33.06,34.5%,48.4%,30-50,40.2%
Херсонська область,Скадовський район,Лазурненська,селищна територіальна громада,UA65080090000034188,,6.548,6.508,191.8,34090.88278,29588.17053,-13.2%,4768.39065,4886.71338,менше 5,2.5%,44.95565717,64.55221539,67.16,59.51,більше 40,-11.4%,0.337376707,0,9197.8,1052.885767,0.285145841,0,11014.7,85.74831857,115.7798061,12.4,7.3,менше 25,-41.2%,1473.181216,1614.528343,59.94,44.28,25-50,-26.1%,524.8161561,646.7131566,100.4,106.92,100-200,6.5%,20.25,25.36,36.9%,48.5%,30-50,31.2%
Дніпропетровська область,Криворізький район,Вакулівська,сільська територіальна громада,UA12060030000081794,,2.904,2.838,285.3,26599.92362,16789.24133,-36.9%,2939.16399,3815.52266,менше 5,29.8%,31.06690842,53.39337474,49.06,58.37,більше 40,19.0%,0.617410248,0,2054.5,1926.81489,0.538863936,0,2789.9,11.46429602,13.17218476,2.7,2.6,менше 25,-5.7%,1842.023365,2056.038686,114.70,96.65,50-100,-15.7%,972.4177541,1066.023934,236.3,238.43,200-500,0.9%,26.64,42.88,59.4%,48.5%,30-50,-18.4%
Запорізька область,Запорізький район,Степненська,сільська територіальна громада,UA23060270000087706,,5.464,5.431,94.6,11563.04804,12494.73738,8.1%,3137.24729,2851.82679,менше 5,-9.1%,37.25663662,41.22904726,50.46,47.81,більше 40,-5.3%,0.204698973,0,9516.3,638.8248814,0.221823575,0,10029.1,524.8098522,341.0985321,105.6,49.1,25-50,-53.5%,272.4992649,343.1962349,24.39,57.61,50-100,136.2%,473.5365195,534.0260807,167.1,141.28,100-200,-15.5%,45.91,47.71,45.1%,48.5%,30-50,7.6%
Запорізька область,Мелітопольський район,Чкаловська,сільська територіальна громада,UA23080290000096336,,3.199,3.139,265.4,27056.40391,17081.15719,-36.9%,2179.98378,2595.53954,менше 5,19.1%,27.54105895,49.5119403,50.9,55.72,більше 40,9.5%,0.63303437,0,2142.2,1975.574673,0.621864823,0,2376.6,7.527069073,9.984439505,2.1,1.9,менше 25,-13.5%,1302.609253,1446.004878,6.95,18.12,менше 25,160.7%,1011.610277,1230.722661,239.7,268.28,200-500,11.9%,22.07,28.33,54.5%,48.6%,30-50,-10.9%
Чернівецька область,Дністровський район,Вашковецька,сільська територіальна громада,UA73040010000039325,,4.736,4.68,58.7,32020.17969,8504.34663,-73.4%,1911.11936,2002.04944,менше 5,4.8%,10.32985518,41.10334329,29.93,26.49,20-40,-11.5%,0.292224099,0,7197,911.9734345,0.277371785,0,7906.8,4.573265865,5.229700855,1.5,1.1,менше 25,-26.7%,443.0630571,435.5359915,23.21,15.91,менше 25,-31.5%,239.4868522,272.1090962,75.0,74.39,менше 100,-0.8%,13.24,43.14,48.3%,48.6%,30-50,0.5%
Вінницька область,Гайсинський район,Соболівська,сільська територіальна громада,UA05040210000068217,,8.098,7.923,292.8,40348.67321,29346.78324,-27.3%,4180.38414,5503.97655,5-20,31.7%,27.85626219,40.90100347,57.55,53.90,більше 40,-6.3%,0.434489253,0,9504.6,1355.954757,0.479983075,0,9117.6,20.76858523,39.38883625,6.0,8.8,менше 25,47.5%,514.3743287,565.8527563,7.72,10.98,менше 25,42.3%,829.2355405,911.3201838,187.1,272.72,200-500,45.7%,25.80,33.89,53.1%,48.6%,30-50,-8.5%
Івано-Франківська область,Коломийський район,П’ядицька,сільська територіальна громада,UA26080210000049380,,17.105,10.944,126.2,103035.2207,24254.11535,-76.5%,5490.1793,6431.18185,5-20,17.1%,5.863692267,25.58268179,26.67,23.75,20-40,-11.0%,0.231088733,0,28587.6,721.182089,0.219725894,0,31413.6,49.56383982,36.41634681,15.9,16.6,менше 25,4.7%,96.7971527,84.41931602,10.33,12.77,менше 25,23.6%,234.1431955,254.331073,100.9,105.11,100-200,4.2%,13.51,48.70,52.6%,48.7%,30-50,-7.4%
Донецька область,Краматорський район,Новодонецька,селищна територіальна громада,UA14120150000071686,,10.855,10.723,280,56345.05245,65096.1296,15.5%,18458.9642,11654.98819,5-20,-36.9%,33.63037365,24.32188398,21.21,24.99,20-40,17.8%,0.60584817,0,8813.4,1890.731939,1.235784542,2696.1,0,42.97902341,40.86522634,9.9,8.0,менше 25,-19.9%,964.3862045,706.1816408,44.57,27.13,25-50,-39.1%,573.1907366,591.71856,153.5,176.50,100-200,15.0%,27.82,21.21,17.7%,48.7%,30-50,175.0%
Львівська область,Самбірський район,Бісковицька,сільська територіальна громада,UA46080010000010628,,18.166,17.999,215.8,114309.429,33146.25118,-71.0%,6681.27257,9226.07168,5-20,38.1%,8.316552909,34.62545887,34.16,36.35,20-40,6.4%,0.253875556,0,29318.8,792.2952407,0.26223999,0,31163.6,92.87446052,47.97708852,15.7,10.0,менше 25,-36.1%,230.6545221,303.2713655,18.97,15.84,менше 25,-16.5%,250.9318201,279.0761001,65.8,78.63,менше 100,19.5%,17.54,51.08,50.5%,48.8%,30-50,-3.4%
Херсонська область,Херсонський район,Виноградівська,сільська територіальна громада,UA65100050000017921,,12.15,12.042,362.1,76456.44175,24453.85508,-68.0%,4456.78046,3886.96898,менше 5,-12.8%,12.27820705,42.24439744,33.96,30.39,20-40,-10.5%,0.225281173,0,20559.7,703.0578451,0.238212834,0,21705.1,34.33199508,36.86243402,8.4,6.5,менше 25,-23.2%,544.1998984,526.6813502,25.61,16.58,менше 25,-35.3%,205.5884269,283.5284438,58.4,46.98,менше 100,-19.5%,11.65,32.03,44.6%,48.9%,30-50,9.5%
Закарпатська область,Берегівський район,Великоберезька,сільська територіальна громада,UA21020050000065800,,6.231,6.185,126.5,16528.48815,17882.12646,8.2%,3906.5322,3880.14926,менше 5,-0.7%,33.14265334,39.60986975,44.83,32.19,20-40,-28.2%,0.348835026,0,8575.6,1088.644907,0.3143628,0,9833.4,13.97974647,12.79797027,2.9,2.1,менше 25,-27.7%,457.3493614,599.3722253,42.47,44.62,25-50,5.1%,353.1394079,455.1361846,105.6,114.89,100-200,8.8%,35.10,39.81,39.9%,48.9%,30-50,22.4%
Івано-Франківська область,Івано-Франківський район,Букачівська,селищна територіальна громада,UA26040050000080752,,4.866,4.776,139.3,27158.00334,14391.14807,-47.0%,2840.4239,3535.28794,менше 5,24.5%,27.06215824,59.22490241,61.57,46.28,більше 40,-24.8%,0.282315132,0,7505.6,881.0495172,0.273851627,0,8118,35.94205876,52.34743407,11.3,11.6,менше 25,2.6%,1193.655732,1361.056771,101.32,79.93,50-100,-21.1%,305.1226587,400.44937,129.0,111.92,100-200,-13.2%,26.39,44.73,53.9%,48.9%,30-50,-9.2%
Чернівецька область,Чернівецький район,Магальська,сільська територіальна громада,UA73060350000057190,,9.567,9.499,84.1,82408.51711,49363.41788,-40.1%,9809.6088,10139.77908,5-20,3.4%,12.12292441,30.63089658,26.36,29.50,20-40,11.9%,0.2734851,0,14970.8,853.4927385,0.345249141,0,14304.9,1852.684089,1976.610322,425.2,274.8,більше 200,-35.4%,559.7151844,1045.037186,58.97,68.40,50-100,16.0%,345.8721858,364.7736199,86.1,119.54,100-200,38.8%,17.88,32.32,33.4%,48.9%,30-50,46.4%
Одеська область,Білгород-Дністровський район,Маразліївська,сільська територіальна громада,UA51040110000040346,,6.702,6.647,296.1,48667.12485,22663.83346,-53.4%,3650.92711,3441.35416,менше 5,-5.7%,27.42520291,56.82164737,61.23,51.03,більше 40,-16.7%,0.472379576,0,7170.1,1474.202936,0.324036239,0,10414.9,12.00962775,13.60912815,3.5,2.5,менше 25,-29.6%,1008.314462,943.992398,67.99,61.71,50-100,-9.2%,974.9760051,981.4457323,162.2,142.98,100-200,-11.8%,15.16,27.01,44.5%,48.9%,30-50,9.8%
Чернівецька область,Чернівецький район,Неполоковецька,селищна територіальна громада,UA73060390000017602,,7.519,7.446,57.9,50065.20498,21967.6699,-56.1%,4370.07526,4347.18487,менше 5,-0.5%,11.43745766,31.36095604,35.88,26.69,20-40,-25.6%,0.465597053,0,8158,1453.036028,0.41848655,0,9732.7,273.7031547,298.1087824,65.7,55.6,50-100,-15.4%,312.8969529,440.3958115,31.85,22.23,менше 25,-30.2%,394.9513241,380.813191,111.2,98.29,менше 100,-11.6%,17.20,37.24,32.3%,49.0%,30-50,51.9%
Закарпатська область,Тячівський район,Буштинська,селищна територіальна громада,UA21080030000084057,,25.857,25.813,142.7,67134.5511,37221.95445,-44.6%,8194.37055,8556.53099,5-20,4.4%,15.84699288,32.53200056,40.32,32.35,20-40,-19.8%,0.177995992,0,46677.9,555.4901779,0.196416197,0,49338.2,104.2881104,198.6542232,42.9,19.9,менше 25,-53.5%,120.6939579,154.9780958,21.62,6.67,менше 25,-69.1%,270.7960857,283.6971954,86.7,85.05,менше 100,-1.9%,16.91,37.53,27.9%,49.1%,30-50,75.8%
Чернівецька область,Чернівецький район,Карапчівська,сільська територіальна громада,UA73060270000016588,,4.437,4.439,45.7,6971.53542,7387.91324,6.0%,1723.84346,1598.67012,менше 5,-7.3%,50.01519091,48.6220741,57,40.22,більше 40,-29.4%,0.205985172,0,7688,642.8388551,0.215361737,0,8246.5,8.674205544,10.80198243,2.3,3.1,менше 25,35.3%,425.8212148,236.1952895,37.57,37.61,25-50,0.1%,351.4469349,557.5890358,173.8,91.85,менше 100,-47.2%,45.26,44.56,35.6%,49.3%,30-50,38.3%
Волинська область,Ковельський район,Колодяжненська,сільська територіальна громада,UA07060210000030014,,8.376,8.345,464.4,50621.7685,31744.1524,-37.3%,6734.04713,6883.07237,5-20,2.2%,14.4618039,29.93055603,32.21,27.05,20-40,-16.0%,0.304543028,0,12467,950.4183675,0.330433298,0,12917.3,601.7106022,837.8940357,153.4,119.7,100-200,-22.0%,370.0298509,444.679263,20.98,21.92,менше 25,4.5%,475.1609444,658.638837,159.1,133.03,100-200,-16.4%,18.45,30.06,37.5%,49.3%,30-50,31.5%
Чернівецька область,Чернівецький район,Ванчиковецька,сільська територіальна громада,UA73060030000078843,,14.441,14.337,170.8,27919.52565,26093.84397,-6.5%,5457.22623,5302.96444,5-20,-2.8%,45.17173615,48.22623023,55.82,53.30,більше 40,-4.5%,0.154546016,0,26895.2,482.3074528,0.172875617,0,28322.8,46.21192513,55.09991501,12.2,12.6,менше 25,3.1%,474.4265878,500.6927586,27.26,20.89,менше 25,-23.4%,294.4718746,308.0662201,86.5,84.97,менше 100,-1.8%,34.69,38.01,37.5%,49.5%,30-50,32.0%
Харківська область,Куп'янський район,Кіндрашівська,сільська територіальна громада,UA63080070000080622,,6.155,6.035,404.8,27688.31818,29032.91483,4.9%,5367.91234,4871.87918,менше 5,-9.2%,44.37882785,46.41889689,56.43,53.06,більше 40,-6.0%,0.60571193,0,4608.2,1890.30676,0.599701906,0,5005.6,17.75725925,18.03894514,5.0,2.7,менше 25,-46.2%,757.8547864,813.9707749,46.66,36.20,25-50,-22.4%,1148.829834,1245.875437,316.4,300.36,200-500,-5.1%,29.94,33.73,37.7%,49.5%,30-50,31.4%
Тернопільська область,Тернопільський район,Козлівська,селищна територіальна громада,UA61040250000021345,,4.473,4.404,95.4,25639.44056,16895.91292,-34.1%,3193.42036,3116.03428,менше 5,-2.4%,18.02222864,35.82426163,38.43,42.31,більше 40,10.1%,0.51757455,0,4270.7,1615.247485,0.484869036,0,4960.9,16.87547507,18.2477089,3.9,4.3,менше 25,10.3%,458.0064699,585.3706835,32.10,2.72,менше 25,-91.5%,462.2008048,505.2683606,142.8,151.65,100-200,6.2%,21.43,36.53,45.0%,49.5%,30-50,10.0%
Кіровоградська область,Голованівський район,Надлацька,сільська територіальна громада,UA35020110000013511,,4.311,4.232,270.8,23748.48258,27303.62845,15.0%,4819.95034,3760.3379,менше 5,-22.0%,68.12905172,61.83082857,52.43,61.02,більше 40,16.4%,0.498046259,0,4337.3,1554.303563,0.618661482,0,3239.9,14.09915317,16.10085297,3.7,3.8,менше 25,2.5%,2580.495137,2748.783407,2.87,13.47,менше 25,369.0%,1157.755995,1156.976595,195.0,158.65,100-200,-18.6%,32.47,23.34,35.0%,49.6%,30-50,41.5%
Чернігівська область,Чернігівський район,Любецька,селищна територіальна громада,UA74100230000068041,,5.636,5.473,595.3,43429.33893,34471.93876,-20.6%,8768.00291,5397.48134,5-20,-38.4%,27.38223409,35.36437125,36.58,36.44,20-40,-0.4%,0.700270915,0,2813.4,2185.406592,0.773824153,0,1876.2,194.9941634,252.9870602,49.0,38.6,25-50,-21.3%,1478.923832,1482.23138,128.29,110.52,100-200,-13.9%,543.0958065,646.5943996,137.4,134.79,100-200,-1.9%,31.09,41.15,40.6%,49.6%,30-50,22.2%
Чернівецька область,Чернівецький район,Веренчанська,сільська територіальна громада,UA73060070000082869,,8.143,8.069,103.6,17516.77182,16751.02382,-4.4%,3213.10951,3807.16147,менше 5,18.5%,37.69952944,43.45782842,60.79,43.89,більше 40,-27.8%,0.221456606,0,13801.7,691.1221308,0.328401468,0,12515.1,70.45376335,62.40081423,17.7,16.0,менше 25,-9.4%,284.5739057,349.0411501,22.79,14.88,менше 25,-34.7%,487.045645,502.8365758,153.2,147.75,100-200,-3.6%,32.77,36.80,39.2%,49.7%,30-50,26.7%
Івано-Франківська область,Івано-Франківський район,Обертинська,селищна територіальна громада,UA26040230000035526,,9.022,8.914,161.3,20935.40762,19511.40426,-6.8%,3653.76185,5235.45391,5-20,43.3%,33.75086871,42.95499549,46.62,34.07,20-40,-26.9%,0.436428038,0,10446.4,1362.005318,0.291660386,0,14716.1,50.98760248,55.70825575,12.3,9.8,менше 25,-20.7%,354.7714192,420.7183264,5.53,7.11,менше 25,28.6%,384.1762686,447.6095367,103.8,100.06,100-200,-3.6%,36.20,39.98,51.9%,49.7%,30-50,-4.2%
Чернівецька область,Вижницький район,Брусницька,сільська територіальна громада,UA73020050000061546,,9.317,9.259,98.1,19566.95441,16530.11575,-15.5%,3137.10041,3657.63928,менше 5,16.6%,27.56457723,33.69198476,43.83,35.08,20-40,-20.0%,0.225042187,0,15705.4,702.3120172,0.223491087,0,17002.1,20.67849249,17.61473116,4.4,4.4,менше 25,-0.6%,127.922529,126.3972986,4.27,2.65,менше 25,-37.9%,417.2689979,447.7122997,137.1,131.48,100-200,-4.1%,24.74,39.94,36.6%,49.8%,30-50,35.9%
Закарпатська область,Хустський район,Синевирська,сільська територіальна громада,UA21120230000041982,,6.406,6.376,254.5,11000.76719,10532.78905,-4.3%,2207.52879,3695.67488,менше 5,67.4%,13.68038223,16.32068251,14.1,39.51,20-40,180.2%,0.277336843,0,9961.7,865.5132647,0.267720398,0,10940.8,58.91886392,75.67164811,16.1,10.8,менше 25,-33.2%,127.4688686,146.3873734,20.18,179.65,100-200,790.2%,94.94479401,108.5655481,25.5,42.60,менше 100,67.2%,35.49,57.24,63.8%,49.8%,30-50,-22.0%
Івано-Франківська область,Коломийський район,Підгайчиківська,сільська територіальна громада,UA26080190000080618,,4.971,4.928,58.3,16012.73925,9605.89324,-40.0%,1779.07911,2322.50955,менше 5,30.5%,21.21728373,45.91066765,43.58,44.25,більше 40,1.5%,0.499243201,0,4979.7,1558.038979,0.392491026,0,6796,11.8434358,16.5964924,3.1,7.5,менше 25,143.8%,295.9099096,475.8491368,13.28,10.69,менше 25,-19.5%,341.3494314,362.3235157,82.6,71.21,менше 100,-13.8%,19.46,46.42,48.4%,49.9%,30-50,3.1%
Закарпатська область,Берегівський район,Вилоцька,селищна територіальна громада,UA21020090000083647,,14.836,14.775,137.4,39747.37679,32895.1241,-17.2%,7589.18567,7724.60752,5-20,1.8%,24.92661426,31.26864939,31.57,24.81,20-40,-21.4%,0.277877638,0,23079.2,867.2009772,0.267668463,0,25388.9,456.047407,476.224703,95.4,89.0,50-100,-6.8%,415.6244047,466.1103622,52.66,29.75,25-50,-43.5%,231.1252184,202.3932878,61.7,52.15,менше 100,-15.5%,24.10,34.88,32.7%,49.9%,30-50,52.3%
Одеська область,Подільський район,Піщанська,сільська територіальна громада,UA51120170000076247,,5.441,5.301,275.2,17749.97208,20419.50683,15.0%,3171.31348,4215.72663,менше 5,32.9%,52.64773121,45.84178172,52.84,44.22,більше 40,-16.3%,0.421046799,0,6518.2,1314.003524,0.433556537,0,6720.8,12.96265272,18.62925989,4.3,11.1,менше 25,161.5%,889.6568024,893.5206252,12.05,17.50,менше 25,45.2%,738.9953513,803.1592411,193.3,238.03,200-500,23.2%,30.68,32.14,48.5%,49.9%,30-50,3.0%
Запорізька область,Мелітопольський район,Семенівська,сільська територіальна громада,UA23080250000043914,,9.468,9.355,591.9,77466.86615,82445.25433,6.4%,18952.30958,15436.0967,5-20,-18.6%,25.93772343,26.37887822,16.7,23.66,20-40,41.7%,1.13054385,455.6,0,3528.203055,1.130564953,489.3,0,898.390069,1038.189618,223.8,138.1,100-200,-38.3%,1007.788929,1135.072486,24.50,15.86,менше 25,-35.3%,934.2747254,1025.360271,169.1,233.25,200-500,38.0%,21.78,29.93,23.6%,49.9%,30-50,111.5%
